listing_id,listing_type,room_type,latitude,longitude,guests,bedrooms,superhost,num_reviews,rating_overall,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_reserved_days,ttm_revpar_native,currency
12804181,Entire home,entire_home,64.1341,-21.7915,10.0,5.0,False,49,4.96,4627660.0,68606.2,0.184,67,12241.3,ISK
12805726,Private room in rental unit,private_room,64.1463,-21.9356,2.0,1.0,False,12,4.25,1602982.0,31475.3,0.148,54,4237.7,ISK
12805768,Private room in rental unit,private_room,64.1465,-21.933,3.0,1.0,False,26,4.54,1323612.0,41772.6,0.09,33,3528.7,ISK
13028685,Private room in hostel,private_room,64.1492,-21.9471,2.0,1.0,False,244,4.59,806712.0,24946.2,0.099,36,2127.2,ISK
13029172,Entire condo,entire_home,64.145,-21.9337,7.0,4.0,False,46,5.0,1896080.0,36403.6,0.142,52,5194.7,ISK
13049726,Entire rental unit,entire_home,64.1499,-21.9573,4.0,2.0,True,771,4.8,9235935.0,33279.2,0.715,261,25303.9,ISK
13159452,Entire rental unit,entire_home,64.15,-21.957,6.0,2.0,True,1216,4.88,17323837.0,56120.8,0.83,303,47462.6,ISK
13185606,Entire rental unit,entire_home,64.1456,-21.9336,2.0,1.0,False,27,4.59,670096.0,15638.6,0.11,40,1717.3,ISK
13242366,Private room in rental unit,private_room,64.1507,-21.9593,,,True,1078,4.75,3775723.0,12706.8,0.808,295,10344.4,ISK
13243620,Private room in rental unit,private_room,64.149,-21.9592,,,True,981,4.78,3294388.0,13072.7,0.682,249,9025.7,ISK
13297190,Private room in hostel,private_room,64.1507,-21.9474,2.0,1.0,False,275,4.63,931334.0,25195.7,0.11,40,2462.7,ISK
13298199,Private room in hostel,private_room,64.1498,-21.9485,2.0,1.0,False,187,4.66,723409.0,25924.9,0.079,29,1916.8,ISK
13358452,Private room in hostel,private_room,64.1474,-21.9492,2.0,1.0,False,194,4.64,1252475.0,26559.3,0.132,48,3314.3,ISK
13393208,Private room in hostel,private_room,64.1477,-21.9468,2.0,1.0,False,253,4.71,1153846.0,25689.4,0.123,45,3084.2,ISK
